taz_id,CLASS_I,CLASS_II,CLASS_III,CLASS_IV
0607500103891,104.284,525.253,0,743.623
0607500103892,0,719.598,751.46,1.736
0607500103893,0,396.722,0,0
0607500103894,3416.704,1354.916,0,0
0607500103895,0,677.623,57.898,3.518
0607500103917,0,277.111,899.805,1579.848
0607500103927,0,0,553.466,2.228
0607500103928,85.532,541.411,580.579,0
0607500103929,0,552.586,30.57,0
0607500103931,0,356.828,812.344,0
0607500103932,0,615.352,551.852,615.352
0607500103958,0,60.721,17.421,0.252
0607500103959,33.25,385.231,1208.272,0
0607500103960,0,0,578.948,0
0607500103961,0,255.755,750.426,0
0607500103971,1002.446,807.013,577.006,2117.178
0607500103974,307.086,2862.674,1867.664,754.508
0607500103975,0,852.442,1864.388,568.86
0607500103976,0,2337.918,0,810.922
0607500103977,0,644.54,0,0
0607500103982,0,355.492,0,0
0607500103986,0,0.896,710.552,0
0607500103987,0,270.926,844.338,0
0607500103988,6.152,538.618,430.11,601.127
0607500103989,138.29,1605.673,174.099,0
0607500103990,0,0,1175.184,0
0607500103991,0,1243.399,1954.303,0
0607500103994,0,691.388,1686.45,0
0607500103995,0,0,1403.138,0
0607500103996,0,0,2895.242,0
0607500103997,0,1.34,967.734,0
0607500104001,0,532.142,1764.877,0
0607500104010,0,482.47,945.06,479.912
0607500104011,0,0,3024.115,0
0607500104012,0,226.151,1206.85,0
0607500104013,260.366,336.067,139.342,0
0607500104014,0,688.347,2.274,0
0607500104017,0,0.725,931.363,0
0607500104019,0,360.944,2141.154,107.377
0607500104020,0,0,8.767,0
0607500104021,0,0,1205.252,0
0607500104022,0,0,1749.348,0
0607500104023,0,1374.804,158.12,0
0607500104024,0,49.742,0,0
0607500104028,0,1207.972,61.661,0
0607500104041,0,47.823,323.252,615.417
0607500104042,0,0,532.476,439.114
0607500104044,0,1197.205,1794.902,963.111
0607500104045,0,0,662.206,380.26
0607500104046,0,0,82.362,0
0607500104047,2.316,804.573,1309.152,620.907
0607500104048,0,767.576,448.718,228.797
0607500104051,0,676.62,0,0
0607500104054,0,207.339,207.339,0
0607500104055,0,206.946,206.946,0
0607500104056,719.924,2483.933,774.05,0
0607500104057,0,662.848,1645.939,0
0607500104058,1566.288,2876.752,1941.168,0
0607500104059,999.996,388.399,780.707,0
0607500104060,0,1864.558,0,0
0607500104061,23.702,1149.47,1499.299,0
0607500104073,0,714.536,0,0
0607500104074,0,0,569.206,0
0607500104075,0,0,185.626,986.818
0607500104077,0,0,780.26,0
0607500104078,0,1867.992,557.462,0
0607500104079,0,24.166,0,0
0607500104081,0,860.969,0,0
0607500104087,0,0,1255.18,0
0607500104088,0,805.299,1122.267,0
0607500104089,0,1462.691,123.595,0
0607500104090,0,1089.176,727.974,0
0607500104091,0,0,653.332,0
0607500104099,0,1036.724,0,0
0607500104100,0,192.774,0,0
0607500104101,0,0.656,0,0
0607500104102,6.974,1094.442,94.446,0
0607500104110,9.744,984.152,38.276,0
0607500104113,388.918,377.266,1252.404,0
0607500104115,0,632.576,0,0
0607500104116,0,674.718,0,0
0607500104117,0,815.854,0,0
0607500104118,0,878.428,605.141,0
0607500104119,0,0,76.44,0
0607500104122,0,474.712,1023.818,0
0607500104137,5.214,1568.801,1410.053,0
0607500104142,0,0,843.758,0
0607500104143,0,754.374,509.31,0
0607500104145,0,566.532,831.152,0
0607500104146,0,0,428.868,0
0607500104147,0,0,413.578,0
0607500104148,0,0,414.686,0
0607500104149,0,1156.312,93.554,0
0607500104150,0,566.898,830.024,0
0607500104152,0,0,844.04,0
0607500104154,0,943.91,189.528,0
0607500104168,0,1333.418,0,0
0607500104169,2300.966,2105.002,2620.321,0
0607500104175,0,293.182,1.402,0
0607500104176,34014.818,19321.494,25672.058,0
0607500104177,18103.174,4024.111,8177.33,1183.741
0607500104178,1516.032,4423.944,2100.174,6633.37
0607500104179,0,449.402,975.297,554.48
0607500104180,0,1252.678,1012.41,0
0607500104182,0,0,418.858,23.197
0607500104183,0,1.252,1882.792,0
0607500104184,0,1.566,5752.71,0
0607500104185,0,1146.657,1240.42,0
0607500104196,0,975.2,351.216,0
0607500104197,0,2628.163,172.732,207.443
0607500104198,0,34.02,0,0
0607500104199,14.377,696.979,802.336,0
0607500104200,0,0,1.726,0
0607500104216,4.572,84.348,885.614,111.538
0607500104219,0,341.336,446.864,0
0607500104226,0,0,584.488,0
0607500104228,0,106.138,587.226,523.108
0607500104229,0,0,0,146.704
0607500104230,0,0,0,146.319
0607500104231,0,462.01,756.393,0
0607500104232,0,522.77,105.78,0
0607500104233,103.518,901.3,1169.994,146.192
0607500104235,1163.342,586.757,0,0.519
0607500104250,0,1269.303,885.737,616.037
0607500104251,0,51.997,0,366.033
0607500104254,0,79.883,924.179,0
0607500104256,1867.746,2.85,2.85,0
0607500104257,0,0,419.516,0
0607500104258,0,439.35,859.376,0
0607500104259,0,0,798.304,0
0607500104260,2.162,147.411,635.373,1.528
0607500104261,0,446.929,586.783,446.168
0607500104262,0,0,585.102,0
0607500104265,0,0,586.856,0
0607500104271,0,0,587.13,0
0607500104272,22.49,0,713.266,0
0607500104273,0,0,423.208,0
0607500104278,0,210.86,214.506,0
0607500104279,0,315.674,399.558,0
0607500104280,0,103.663,1277.645,0
0607500104281,0,99.268,977.844,0
0607500104282,0,197.889,197.889,0
0607500104283,0,202.92,202.92,0
0607500104284,0,107.697,987.551,0
0607500104285,0,103.529,0.62,102.909
0607500104296,0,178.414,1121.388,151.26
0607500104297,0,292.763,713.597,0
0607500104298,0,146.599,0.817,145.782
0607500104305,0,0,66.172,875.454
0607500104306,0,553.892,61.685,311.191
0607500104307,0,231.971,5.635,2206.697
0607500104308,0,920.771,1.355,983.682
0607500104309,1319.94,1766.079,1137.595,0
0607500104313,0,158.968,0,52.834
0607500104314,0,104.434,586.987,104.434
0607500104317,0,207.752,1115.652,0
0607500104318,957.422,58.08,1088.936,0
0607500104320,0,0,1087.684,0
0607500104321,0,209.038,0,0
0607500104322,0,3.616,1342.85,0
0607500104323,0,0,628.38,0
0607500104325,0,0,712.268,0
0607500104326,0,0,584.708,0
0607500104329,0,0,618.954,0
0607500104337,0,990.795,0,139.567
0607500104339,0,0,0,1404.498
0607500104340,0,0,1287.79,0
0607500104343,0,246.546,1384.05,0
0607500104344,0,177.191,1558.197,0
0607500104348,0,112.7,776.058,0
0607500104349,0,576.974,929.138,0
0607500104350,0,0,781.97,0
0607500104357,0,0,882.433,0
0607500104370,0,388.099,2325.017,0
0607500104377,19.866,5.684,887.788,0
0607500104378,103.16,1432.555,1133.863,0
0607500104379,3.172,417.188,0,0
0607500104380,0,207.586,206.372,0
0607500104381,0,207.735,207.735,0
0607500104383,0,1539.471,207.207,0
0607500104384,0,0.636,412.64,0
0607500104385,0,621.822,621.822,0
0607500104386,0,207.433,207.433,0
0607500104388,0,1135.072,0,0
0607500104389,0,1002.348,623.142,0
0607500104401,0,658.564,0,0
0607500104406,0,0,794.584,0
0607500104409,0,0,418.846,0
0607500104423,860.402,0,0,0
0607500104424,0,8.81,0,0
0607500104425,1205.782,0,1009.248,0
0607500104430,0,0,428.506,0
0607500104431,0,1074.766,415.368,0
0607500104432,0,0,413.812,0
0607500104443,0,746.774,1992.152,0
0607500104446,471.932,88.465,1405.637,68.508
0607500104451,0,1730.308,849.757,817.846
0607500104452,0,590.521,340.066,1011.45
0607500104453,0,195.904,0,740.952
0607500104454,0,1.223,554.717,797.936
0607500104455,0,575.996,585.223,599.096
0607500104456,0,72.783,557.612,296.396
0607500104457,0,3661.111,150.427,1655.838
0607500104458,0,0,611.066,721.068
0607500104459,0,192.626,0,0
0607500104461,0,1107.874,1.28,1157.222
0607500104462,0,1624.686,191.744,1607.328
0607500104463,51.961,825.076,153.07,0
0607500104466,24013.804,4006.422,20649.936,4836.669
0607500104468,870.627,7668.521,7843.64,4248.41
0607500104469,47.508,194.18,57.374,384.268
0607500104471,396.929,71.284,2950.311,2056.619
0608100101942,105.552,33.526,0,33.526
0608100102119,39.842,0,9.072,0
